W1981368803	Generalized Gradient Approximation Made Simple
C2780586882	Simple (philosophy)
C99844830	Scaling
C121864883	Statistical physics
C170122806	Linear scale
C121332964	Physics
A5014987686	John P. Perdew
A5082307304	Kieron Burke
A5053648717	Matthias Ernzerhof
W2083222334	Efficient iterative schemes for<i>ab initio</i>total-energy calculations using a plane-wave basis set
C2781442258	Ab initio
C65956243	Basis set
C12426560	Basis (linear algebra)
A5019751186	Georg Kresse
A5062208820	J. Furthmüller
W2071666535	Cutoff criteria for fit indexes in covariance structure analysis: Conventional criteria versus new alternatives
C2778217198	Cutoff
C105795698	Statistics
C33923547	Mathematics
C2777382242	Index (typography)
C2908647359	Population
A5045479885	Li‐tze Hu
A5065916093	Peter M. Bentler
W2143981217	Density-functional thermochemistry. III. The role of exact exchange
C29563950	Thermochemistry
C152365726	Density functional theory
C185592680	Chemistry
C22693506	Hybrid functional
C198291218	Ionization
A5015077264	Axel D. Becke
W2023271753	Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density
C135889238	Kinetic energy
C56911000	Density matrix
C35052450	Electronic correlation
C186370098	Energy (signal processing)
A5049788468	Chengteh Lee
A5019365851	Weitao Yang
A5009013437	Robert G. Parr
W2064675550	Long Short-Term Memory
C61797465	Term (time)
C179226034	Short-term memory
C41008148	Computer science
C15744967	Psychology
A5053148274	Sepp Hochreiter
A5071172037	Jürgen Schmidhuber
W1970127494	Projector augmented-wave method
C132378524	Pseudopotential
C2776865275	Projector
C65155139	Envelope (radar)
C40308292	Plane wave
C70710897	Separable space
A5030965628	Peter E. Blöchl
W4300870773	Statistical Power Analysis for the Behavioral Sciences
C96608239	Statistical power
C71743495	Power analysis
C2986587452	Statistical analysis
C5570062	Behavioural sciences
C163258240	Power (physics)
A5110163574	Keith E. Muller
A5102808166	Jacob Cohen
W1979544533	From ultrasoft pseudopotentials to the projector augmented-wave method
C155281189	Tensor (intrinsic definition)
A5063903403	Daniel P. Joubert
W2164777277	The Measurement of Observer Agreement for Categorical Data
C5274069	Categorical variable
C2778724333	Kappa
C142259097	Homogeneity (statistics)
C161584116	Multivariate statistics
A5052609076	J. Richard Landis
A5108081836	Gary G. Koch
W2007395042	Efficiency of ab-initio total energy calculations for metals and semiconductors using a plane-wave basis set
C130787639	Hamiltonian (control theory)
W2058122340	Electric Field Effect in Atomically Thin Carbon Films
